SCHEME,1,APPLE VALLEY_SCHEME,APPLE VALLEY_SCHEME,JESS FISR,,,,
SCHEME,1,QUINN_SCHEME,QUINN_SCHEME,CARVER FISR,,,,
SCHEME,1,TELEGRAPH_SCHEME,TELEGRAPH_SCHEME,GAMMA FISR,,,,
SCHEME,1,REPETTO_SCHEME,REPETTO_SCHEME,KENBO FISR,,,,
SCHEME,1,NARROWS_SCHEME,NARROWS_SCHEME,CORNWALL FISR,,,,
SCHEME,1,LINDSAY_SCHEME,LINDSAY_SCHEME,MCDERMONT FISR,,,,
SCHEME,1,ROSEMEAD_SCHEME,ROSEMEAD_SCHEME,GERONA FISR,,,,
SCHEME,1,VICTOR_SCHEME,VICTOR_SCHEME,CEMENT FISR,,,,
SCHEME,1,QUINN_SCHEME,QUINN_SCHEME,MIDGE FISR,,,,
SCHEME,1,RANCHO_SCHEME,RANCHO_SCHEME,KNOLLS FISR,,,,
SCHEME,1,NARROWS_SCHEME,NARROWS_SCHEME,BALLARD FISR,,,,
SCHEME,1,HESPERIA_SCHEME,HESPERIA_SCHEME,FARGO FISR,,,,
SCHEME,1,CITRUS_SCHEME,CITRUS_SCHEME,MANDARIN FISR,,,,
SCHEME,1,APPLE VALLEY_SCHEME,APPLE VALLEY_SCHEME,CHOICEANNA FISR,,,,
SCHEME,1,APPLE VALLEY_SCHEME,APPLE VALLEY_SCHEME,FAIRBURN FISR,,,,
SCHEME,1,CITRUS_SCHEME,CITRUS_SCHEME,GRAPEFRUIT FISR,,,,
SCHEME,1,SAVAGE_SCHEME,SAVAGE_SCHEME,DONERT FISR,,,,
SCHEME,1,RIO HONDO_SCHEME,RIO HONDO_SCHEME,PIT FISR,,,,
SCHEME,1,CITRUS_SCHEME,CITRUS_SCHEME,SUNKIST FISR,,,,
SCHEME,1,QUINN_SCHEME,QUINN_SCHEME,KYTE FISR,,,,
SCHEME,1,PIXLEY_SCHEME,PIXLEY_SCHEME,HOBSON FISR,,,,
SCHEME,1,NARROWS_SCHEME,NARROWS_SCHEME,YORKTOWN FISR,,,,
SCHEME,1,DOWNS_SCHEME,DOWNS_SCHEME,SHANGRILA FISR,,,,
SCHEME,1,SAVAGE_SCHEME,SAVAGE_SCHEME,TALPA FISR,,,,
SCHEME,1,APPLE VALLEY_SCHEME,APPLE VALLEY_SCHEME,TUSSING FISR,,,,
SCHEME,1,WOODVILLE_SCHEME,WOODVILLE_SCHEME,MONROE FISR,,,,
SCHEME,1,PORTERVILLE_SCHEME,PORTERVILLE_SCHEME,CAMPBELL FISR,,,,
SCHEME,1,NARROWS_SCHEME,NARROWS_SCHEME,ESCAMILLA FISR,,,,
SCHEME,1,TERRA BELLA_SCHEME,TERRA BELLA_SCHEME,ZION FISR,,,,
SCHEME,1,CITRUS_SCHEME,CITRUS_SCHEME,LEMONADE FISR,,,,
SCHEME,1,REPETTO_SCHEME,REPETTO_SCHEME,LIBRA FISR,,,,
SCHEME,1,SAVAGE_SCHEME,SAVAGE_SCHEME,BOISE FISR,,,,
SCHEME,1,RANCHO_SCHEME,RANCHO_SCHEME,MARIANNA FISR,,,,
SCHEME,1,LUCERNE_SCHEME,LUCERNE_SCHEME,RABBIT FISR,,,,
SCHEME,1,VICTOR_SCHEME,VICTOR_SCHEME,KOALA FISR,,,,
SCHEME,1,LUCERNE_SCHEME,LUCERNE_SCHEME,TIMCO FISR,,,,
SCHEME,1,CITRUS_SCHEME,CITRUS_SCHEME,SPANADA FISR,,,,
SCHEME,1,NARROWS_SCHEME,NARROWS_SCHEME,STUTZ FISR,,,,
SCHEME,1,DOWNS_SCHEME,DOWNS_SCHEME,DEETER FISR,,,,
SCHEME,1,VICTOR_SCHEME,VICTOR_SCHEME,BEELINE FISR,,,,
SCHEME,1,NARROWS_SCHEME,NARROWS_SCHEME,CADILLAC FISR,,,,
SCHEME,1,LINDSAY_SCHEME,LINDSAY_SCHEME,ROUND VALLEY FISR,,,,
SCHEME,1,ROSEMEAD_SCHEME,ROSEMEAD_SCHEME,BILTON FISR,,,,
SCHEME,1,PIXLEY_SCHEME,PIXLEY_SCHEME,BUDD FISR,,,,
SCHEME,1,EARLIMART_SCHEME,EARLIMART_SCHEME,LOGAN FISR,,,,
SCHEME,1,REPETTO_SCHEME,REPETTO_SCHEME,GLEASON FISR,,,,
SCHEME,1,POPLAR_SCHEME,POPLAR_SCHEME,HOUSTON FISR,,,,
SCHEME,1,RIO HONDO_SCHEME,RIO HONDO_SCHEME,RHINE FISR,,,,
SCHEME,1,REPETTO_SCHEME,REPETTO_SCHEME,BLANCHARD FISR,,,,
